"y","d","age","educ","black","hispan","married","nodegree","re74","re75"
9930.046,1,37,11,1,0,1,1,0,0
3595.894,1,22,9,0,1,0,1,0,0
24909.45,1,30,12,1,0,0,0,0,0
7506.146,1,27,11,1,0,0,1,0,0
289.7899,1,33,8,1,0,0,1,0,0
4056.494,1,22,9,1,0,0,1,0,0
0,1,23,12,1,0,0,0,0,0
8472.158,1,32,11,1,0,0,1,0,0
2164.022,1,22,16,1,0,0,0,0,0
12418.07,1,33,12,0,0,1,0,0,0
8173.908,1,19,9,1,0,0,1,0,0
17094.64,1,21,13,1,0,0,0,0,0
0,1,18,8,1,0,0,1,0,0
18739.93,1,27,10,1,0,1,1,0,0
3023.879,1,17,7,1,0,0,1,0,0
3228.503,1,19,10,1,0,0,1,0,0
14581.86,1,27,13,1,0,0,0,0,0
7693.4,1,23,10,1,0,0,1,0,0
10804.32,1,40,12,1,0,0,0,0,0
10747.35,1,26,12,1,0,0,0,0,0
0,1,23,11,1,0,0,1,0,0
5149.501,1,41,14,0,0,0,0,0,0
6408.95,1,38,9,0,0,0,1,0,0
1991.4,1,24,11,1,0,0,1,0,0
11163.17,1,18,10,1,0,0,1,0,0
9642.999,1,29,11,1,0,1,1,0,0
9897.049,1,25,11,1,0,0,1,0,0
11142.87,1,27,10,0,1,0,1,0,0
16218.04,1,17,10,1,0,0,1,0,0
995.7002,1,24,11,1,0,0,1,0,0
0,1,17,10,1,0,0,1,0,0
6551.592,1,48,4,1,0,0,1,0,0
1574.424,1,25,11,1,0,1,1,0,0
0,1,20,12,1,0,0,0,0,0
3191.753,1,25,12,1,0,0,0,0,0
20505.93,1,42,14,1,0,0,0,0,0
6181.88,1,25,5,1,0,0,1,0,0
5911.551,1,23,12,1,0,1,0,0,0
3094.156,1,46,8,1,0,1,1,0,0
0,1,24,10,1,0,0,1,0,0
1254.582,1,21,12,1,0,0,0,0,0
13188.83,1,19,9,0,0,0,1,0,0
8061.485,1,17,8,1,0,0,1,0,0
2787.96,1,18,8,0,1,1,1,0,0
3972.54,1,20,11,1,0,0,1,0,0
